Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
31,86,43,2219.5,56.2,426.7,1163.4,764.5,402.38,566.0,1
27,91,39,3239.5,82.1,288.9,3065.4,298.7,788.45,793.5,1
30,65,39,3925.7,55.6,194.8,3162.8,737.0,754.03,529.8,0
32,64,52,3418.9,5.1,305.4,2027.5,475.1,473.8,717.9,1
34,84,29,2888.7,67.1,507.2,1521.2,756.1,389.46,608.8,0
33,88,57,2471.0,77.2,457.4,1099.3,811.2,213.35,742.8,1
33,72,21,3035.8,32.0,330.4,1716.1,343.8,376.14,543.0,0
31,79,20,3091.6,20.4,239.3,1834.8,566.4,396.38,541.3,0
34,76,21,2032.6,23.1,406.0,1604.3,586.2,394.66,545.5,0
33,85,55,2627.0,64.4,250.2,1478.2,240.5,295.77,614.4,1
29,68,33,3646.5,27.8,368.1,2648.5,597.6,777.45,642.4,0
31,69,43,2248.6,5.2,347.6,1530.9,880.7,395.53,649.3,0
29,82,51,2056.5,5.1,255.2,2001.0,405.5,611.97,620.9,0
34,65,24,2801.8,10.4,382.9,1023.3,261.9,270.91,429.5,0
30,65,55,3711.1,56.1,442.6,1419.1,541.9,342.9,601.3,0
33,71,56,3352.6,56.4,423.8,3079.5,305.8,700.52,703.8,1
29,69,31,3180.0,17.5,301.2,2485.6,502.4,509.23,476.1,0
31,84,49,1977.9,24.1,247.9,2719.9,592.3,752.91,607.1,1
28,79,34,3419.1,82.1,455.9,1064.2,274.4,219.88,682.0,0
31,76,27,2971.7,30.2,298.9,1526.2,555.0,366.61,590.8,0
33,85,40,3309.3,6.2,234.7,2450.9,795.4,633.63,521.7,1
31,80,22,3707.8,19.1,342.0,1917.1,358.6,598.54,543.2,1
34,64,50,2669.9,32.7,397.9,2872.8,397.4,764.68,528.5,1
33,88,55,1891.7,11.6,243.4,1166.6,729.4,379.23,842.5,1
27,83,54,2954.9,8.7,341.8,2332.1,523.9,569.11,578.8,1
31,79,28,4119.2,41.7,408.4,1179.3,879.9,320.95,503.9,1
29,71,55,1834.2,39.1,233.1,2835.2,235.1,816.09,695.8,0
29,77,38,3072.2,27.5,458.8,3154.6,332.8,800.95,578.2,0
29,89,24,2490.6,71.9,303.5,3048.8,530.8,839.13,555.2,0
31,88,57,3249.8,60.8,470.1,1927.1,513.3,441.56,832.3,1
33,76,40,3974.0,88.3,238.4,1780.8,792.0,423.79,561.5,1
34,84,44,2765.2,61.1,453.7,3155.9,521.5,677.86,677.5,1
32,89,26,3985.5,41.9,344.6,1950.9,691.8,466.12,675.1,1
29,64,50,3753.8,26.8,380.6,1814.2,210.2,412.41,644.3,0
33,92,40,3367.0,80.3,330.5,2144.3,613.1,472.42,759.3,1
31,69,25,2884.9,12.5,384.5,2906.9,482.8,773.29,635.5,0
27,72,23,2533.4,36.2,203.9,2121.7,574.4,600.63,423.6,0
28,81,44,3349.3,24.7,487.7,1229.2,495.9,248.25,586.9,1
27,90,49,4053.0,62.3,208.5,1916.0,409.2,500.02,772.5,1
33,84,36,2942.1,30.0,519.8,2862.7,230.0,687.2,600.9,1
31,84,38,1854.8,75.4,296.4,918.6,798.8,296.44,793.7,0
34,88,38,3739.4,23.8,446.7,1403.7,292.6,291.08,750.3,1
29,82,26,4058.5,59.6,264.3,1913.9,584.7,534.24,467.2,0
31,72,46,2239.1,15.4,349.6,3134.4,548.1,882.84,718.3,1
31,91,50,4218.5,29.4,472.0,2749.7,501.2,585.5,816.7,1
30,89,45,4218.2,73.2,285.3,2718.6,160.4,688.43,694.9,1
31,80,44,3856.0,84.9,190.1,1437.8,168.8,451.67,673.2,1
30,82,24,3388.5,43.9,409.4,2393.3,237.5,489.21,443.0,1
34,65,26,2387.0,50.2,293.8,1753.3,862.0,485.48,508.8,0
29,90,46,3437.3,75.7,377.8,3059.8,359.8,810.62,633.4,1
34,92,35,3938.6,12.5,403.7,2152.3,883.4,504.16,652.4,1
30,92,27,4172.5,74.9,183.9,1387.8,629.6,460.01,514.6,0
32,69,28,3767.4,21.6,457.0,2174.7,589.8,618.81,447.0,0
29,87,58,1807.1,77.8,203.5,1199.0,338.0,221.63,800.4,0
27,66,20,2695.6,71.8,367.9,936.3,349.0,144.5,453.3,0
28,85,24,2990.6,70.9,339.9,1150.8,527.9,394.6,461.3,0
31,76,21,1952.1,45.2,298.6,2478.0,517.7,717.83,408.2,0
28,72,58,2170.8,14.9,381.0,2246.3,684.1,532.99,698.8,0
31,76,52,3313.6,12.5,409.7,2861.4,638.2,779.9,732.7,1
30,75,48,4020.2,39.6,456.1,1817.1,697.2,409.29,587.9,0
31,73,29,3517.1,44.8,183.8,1096.3,473.9,332.78,515.1,0
29,79,23,3266.2,52.3,272.0,1181.1,415.2,334.96,636.2,0
27,92,38,3301.0,34.2,363.8,1389.3,642.6,281.14,578.1,0
32,65,37,3235.3,73.4,462.7,3141.5,763.8,812.63,585.7,1
27,81,37,1872.4,27.5,432.1,3019.5,413.3,678.41,523.9,0
33,64,29,3652.4,87.6,184.0,2120.1,432.1,518.9,401.0,0
31,85,40,3742.1,52.8,181.4,1021.0,268.1,283.53,717.7,1
31,76,47,3014.2,42.0,251.1,2636.4,235.4,642.28,580.4,1
34,78,39,1913.5,38.0,371.8,917.7,376.1,160.12,514.0,0
31,71,40,2100.0,46.8,309.3,1197.1,549.4,234.5,606.1,0
32,64,45,3954.4,7.6,156.9,3018.7,796.6,772.86,593.0,1
33,71,27,2812.6,87.1,213.6,3079.5,495.1,815.38,492.5,0
33,89,26,2408.3,54.6,343.9,1810.3,382.7,414.06,578.6,0
29,64,52,3383.1,49.6,221.7,2685.3,413.3,781.3,644.0,1
29,69,26,2166.1,21.0,372.9,2648.5,641.6,584.64,600.6,0
34,76,56,3699.7,42.6,491.9,2198.3,626.5,579.46,792.5,1
32,66,48,1970.7,42.0,262.0,1531.7,192.1,384.69,537.7,0
34,63,23,2721.8,28.7,388.5,3147.9,217.7,809.55,438.4,0
27,76,56,3429.6,31.7,326.0,1247.0,196.4,216.59,802.9,0
32,84,25,3061.4,18.8,241.7,1906.8,479.6,482.16,494.6,0
32,91,38,2768.5,70.6,401.2,1020.4,623.2,215.42,639.0,0
33,71,36,3609.3,60.5,485.3,2908.5,400.0,746.98,464.1,1
32,71,45,2122.4,65.0,181.3,2185.5,632.6,505.21,497.8,0
28,82,47,3071.2,5.6,264.3,3087.7,406.3,835.8,586.0,1
29,66,24,2539.5,71.8,337.8,2141.5,704.0,541.74,542.4,0
29,81,44,2185.6,19.6,406.4,2336.9,827.0,637.31,523.4,1
32,83,35,4224.0,56.5,428.4,2702.7,325.5,613.08,773.2,1
34,90,32,2719.6,85.5,514.2,1961.9,361.3,462.12,667.6,0
29,88,32,3803.1,15.9,242.5,2374.7,805.6,606.76,529.2,1
28,71,25,3707.8,27.5,485.0,1238.9,478.1,416.86,442.1,0
34,90,42,4126.2,39.7,296.7,1760.1,439.6,339.61,618.8,1
32,91,26,3897.9,59.9,442.8,1216.5,365.2,383.27,698.5,1
29,86,50,2921.5,4.5,179.3,1488.6,776.2,383.86,781.2,0
33,65,38,2394.1,14.5,238.2,2369.6,617.1,487.47,648.1,0
34,81,54,1841.1,48.3,239.5,1230.2,471.9,335.1,624.5,1
33,67,25,3108.7,35.0,502.8,2151.4,739.8,539.68,359.6,0
34,63,44,4252.6,25.8,156.0,2713.6,408.6,734.31,599.8,1
32,66,22,2680.7,33.1,387.8,2809.9,663.5,817.87,479.0,0
29,87,28,1957.8,70.8,319.3,1574.9,182.9,321.6,488.7,0
31,78,45,4272.8,50.7,243.7,2632.6,293.3,623.82,732.3,1
32,70,27,3798.4,41.6,298.0,1911.4,867.4,439.22,434.4,0
34,73,53,2466.8,11.1,307.1,1890.4,896.3,395.91,592.2,0
28,64,40,3452.3,30.4,373.0,1880.1,667.3,434.4,412.7,0
32,81,47,2486.4,88.3,500.7,1072.6,628.1,235.34,763.2,1
29,92,21,2156.9,56.3,439.1,980.0,200.4,311.84,584.1,0
33,92,56,1881.0,17.2,316.5,1753.2,483.0,336.75,662.5,1
32,74,40,3423.9,25.5,192.0,2592.1,524.3,620.9,623.5,1
31,86,36,3560.1,22.5,376.4,2496.2,899.0,552.09,544.9,1
28,76,31,4046.7,42.3,182.5,2468.4,784.1,573.8,532.4,0
28,79,54,2525.9,29.8,208.3,2532.0,675.2,554.78,649.7,1
30,65,32,3780.2,24.4,332.8,1730.1,579.2,424.7,666.8,0
29,81,25,1964.4,38.2,415.3,2000.9,458.1,478.49,603.0,0
29,72,24,2924.9,62.5,277.5,2919.3,735.2,763.38,431.4,0
29,75,52,4076.8,8.8,195.9,1251.9,273.5,270.41,723.7,0
32,92,53,4037.3,76.8,242.7,2360.6,563.1,500.19,699.4,1
28,78,30,3279.5,53.9,213.3,2336.3,826.5,545.1,712.2,1
27,88,21,2003.1,85.6,435.3,1508.7,308.1,394.49,637.6,0
27,77,54,2524.2,86.3,328.7,2750.8,663.7,639.08,552.2,0
27,67,48,2839.1,43.9,275.9,1230.4,796.1,264.24,746.5,0
32,74,28,3701.7,48.3,189.3,1456.0,241.9,351.9,446.9,0
27,71,44,3960.4,40.0,506.2,2975.3,760.1,847.93,671.6,1
30,86,30,3045.7,48.3,334.5,1609.6,167.4,509.26,630.6,0
30,68,57,2682.2,8.3,333.1,2929.4,640.7,725.29,654.4,0
28,75,28,4006.1,66.6,432.6,1741.7,450.4,452.29,468.5,0
31,64,44,3060.6,69.7,253.5,3174.9,660.3,702.24,709.3,1
33,73,41,3194.6,35.4,203.4,2285.7,451.0,461.09,465.4,1
32,87,50,3098.3,16.8,480.5,1221.5,848.5,261.82,686.4,1
31,80,41,3068.3,47.8,331.2,2194.7,506.2,432.67,591.6,1
28,75,57,2569.2,81.3,472.7,2347.3,597.7,530.55,728.6,0
30,85,23,3258.8,18.7,382.7,2325.4,780.9,496.82,648.3,1
27,80,27,2277.0,41.9,304.9,1849.8,302.9,462.89,616.8,0
34,89,23,3564.4,48.6,357.5,3195.7,508.8,769.36,753.1,1
34,91,54,2655.8,34.5,435.6,2558.1,632.5,685.92,790.3,1
30,92,35,2497.5,29.7,498.3,3159.2,728.4,838.98,740.1,0
34,72,50,2672.0,84.3,444.3,1529.0,241.4,424.64,599.9,0
33,88,42,4186.5,73.2,257.5,1561.5,685.6,353.5,673.1,1
31,85,50,2335.0,75.2,250.3,2192.6,353.7,454.36,779.8,1
30,69,23,3474.6,49.7,386.0,1020.7,460.0,307.34,386.3,0
29,62,55,4244.8,17.6,391.6,2925.5,506.8,767.5,678.8,1
31,72,38,3414.7,82.1,183.1,2220.5,551.4,608.67,716.6,1
29,75,31,4134.8,7.1,459.4,2712.3,289.7,737.84,684.4,0
31,90,22,1823.2,52.8,189.7,3160.9,363.4,907.61,630.4,1
34,90,28,3927.6,44.2,221.3,1159.1,271.9,279.91,569.8,1
29,62,41,3776.9,52.8,430.2,1303.6,792.1,421.19,641.3,0
32,64,45,3473.1,19.9,202.0,1644.3,336.0,353.66,491.7,1
31,92,41,2554.9,66.2,154.2,2403.5,669.6,495.78,593.7,1
31,67,45,3515.2,83.4,478.5,2670.6,667.7,700.94,719.7,1
32,81,34,2347.8,15.5,206.7,2619.8,604.3,634.75,633.1,1
34,86,54,3805.0,75.0,431.9,2464.8,596.9,685.17,737.5,1
32,64,56,2080.5,75.3,484.1,1365.0,552.5,260.74,723.5,0
34,65,33,3592.3,46.0,482.6,1924.6,191.7,392.82,500.7,0
27,79,49,3481.9,30.5,158.1,1485.3,152.3,303.62,542.2,1
33,73,24,3152.9,9.2,480.9,3168.1,504.1,740.93,436.3,1
29,86,46,2736.2,80.7,316.0,3009.4,433.1,651.61,835.4,1
29,82,42,2096.6,89.4,295.4,1192.9,884.0,378.58,734.3,0
31,76,54,2860.3,36.6,235.0,1959.4,266.3,415.09,787.4,0
28,63,46,3337.3,84.5,478.9,1453.5,200.5,385.92,553.6,0
27,69,22,2805.7,24.2,230.4,2886.6,192.3,722.59,438.7,0
32,80,58,3731.3,74.4,237.7,2915.4,889.3,733.95,687.7,1
31,63,55,4171.3,79.7,487.3,2339.8,470.4,583.9,749.2,1
33,87,53,2596.8,39.8,205.2,1765.9,715.8,435.12,835.9,1
31,89,29,3814.4,82.7,358.1,3125.9,568.0,693.66,564.2,1
30,72,25,4105.6,76.9,184.2,2566.5,292.9,586.06,583.1,0
27,89,24,2270.4,69.5,418.0,2185.4,509.5,635.02,570.2,0
27,68,32,4205.2,14.1,519.8,2001.5,331.9,525.43,449.8,0
30,79,40,3738.8,36.7,347.5,1726.3,346.2,434.65,631.7,1
28,87,50,3704.1,31.5,225.2,1619.7,184.3,492.31,790.9,1
27,70,55,4136.9,53.8,304.5,1250.5,397.4,283.79,746.0,0
34,79,41,2443.3,74.7,507.6,2375.9,517.9,514.35,725.2,1
29,66,54,3020.8,82.9,350.6,2376.2,194.0,482.17,723.8,0
27,86,20,2831.0,76.5,235.6,2526.5,156.9,633.0,549.0,0
34,83,51,1839.3,49.8,302.2,938.5,691.6,243.2,636.7,1
33,87,31,2067.5,12.3,205.1,1341.4,544.8,411.0,568.9,0
33,64,43,4198.2,43.5,240.0,2503.6,375.0,704.63,436.8,1
27,64,45,2748.2,51.5,170.8,921.7,278.5,230.39,551.2,0
32,80,26,4037.0,83.0,235.0,2972.9,669.2,759.25,510.5,1
28,83,37,4048.3,52.5,162.2,3036.2,385.9,869.8,668.0,1
33,91,24,2548.2,52.5,359.7,2853.7,657.8,723.16,596.5,1
29,87,25,3052.0,87.8,169.9,1905.3,779.0,438.07,694.2,0
33,86,40,1874.1,27.5,517.3,2028.4,416.9,612.97,650.6,1
33,64,38,3795.1,65.3,180.4,1254.7,683.8,345.81,613.5,0
32,73,26,2028.8,85.1,314.6,2651.1,226.7,563.73,520.0,0
33,65,21,2024.0,51.7,370.9,2704.2,797.8,559.01,449.8,0
28,85,55,4063.0,88.1,361.6,1290.0,435.5,235.82,668.8,1
